rank,title,Previous Rank,Revenues ($M),Revenue Change %,Profits ($M),Profit Change %,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,Rank increase
162,Danaher,144,18330.0,-7.9,2492.1,-2.4,46649.0,68385.0,67000,-18
163,Kimberly-Clark,155,18259.0,0.3,2278.0,5.2,15151.0,38553.0,42000,-8
164,AECOM,161,18203.0,4.6,339.4,253.1,14397.0,5671.0,87000,-3
165,PNC Financial Services,166,18035.0,9.8,5338.0,36.8,380768.0,71323.0,51632,1
166,CenturyLink,160,17656.0,1.1,1389.0,121.9,75611.0,17578.0,51000,-6
167,NextEra Energy,170,17195.0,6.4,5378.0,84.7,97827.0,76895.0,14000,3
168,PG& E Corp.,157,17135.0,-3.0,1646.0,18.2,68012.0,22664.0,23000,-11
169,Synnex,198,17046.0,21.2,301.2,28.2,7699.0,4702.0,113600,29
170,WellCare Health Plans,195,17007.0,19.5,373.7,54.4,8365.0,8622.0,8900,25
171,Performance Food Group,171,16762.0,4.1,96.3,41.0,3804.0,3104.0,14000,0
172,Sears Holdings,127,16702.0,-24.6,,,7262.0,288.0,89000,-45
173,Synchrony Financial,185,16695.0,10.4,1935.0,-14.0,95808.0,25490.0,16000,12
174,CarMax,174,16637.0,5.1,627.0,0.6,16279.0,11202.0,24344,0
175,Bank of New York Mellon,177,16621.0,6.0,4090.0,15.3,371758.0,51919.0,52500,2
176,Freeport-McMoRan,175,16416.0,4.0,1817.0,,37302.0,25439.0,25200,-1
177,Genuine Parts,180,16309.0,6.3,616.8,-10.3,12412.0,13183.0,48000,3
178,Emerson Electric,139,16301.0,-19.6,1518.0,-7.2,19589.0,43359.0,76500,-39
179,DaVita,181,16038.0,5.5,663.6,-24.6,18948.0,12001.0,74500,2
180,Supervalu,158,16009.0,-8.7,650.0,265.2,3580.0,585.0,29000,-22
181,Gap,178,15855.0,2.2,848.0,25.4,7989.0,12147.0,135000,-3
182,General Mills,165,15620.0,-5.7,1657.5,-2.4,21813.0,26716.0,38000,-17
183,Nordstrom,188,15478.0,4.9,437.0,23.4,8115.0,8123.0,76000,5
184,Colgate-Palmolive,182,15454.0,1.7,2024.0,-17.1,12676.0,62607.0,35900,-2
185,American Electric Power,167,15425.0,-5.8,1912.6,213.1,64729.0,33766.0,17666,-18
186,XPO Logistics,191,15381.0,5.2,340.2,393.0,12602.0,12210.0,95000,5
187,Goodyear Tire & Rubber,184,15377.0,1.4,346.0,-72.6,17064.0,6392.0,64000,-3
188,Omnicom Group,179,15274.0,-0.9,1088.4,-5.2,24931.0,16734.0,77300,-9
189,CDW,199,15192.0,8.7,523.0,23.2,6957.0,10717.0,8726,10
190,Sherwin-Williams,236,14984.0,26.4,1772.3,56.5,19958.0,36899.0,52695,46
191,PPG Industries,183,14967.0,-1.4,1591.0,81.4,16538.0,27824.0,47200,-8
192,Texas Instruments,206,14961.0,11.9,3682.0,2.4,17642.0,102135.0,29714,14
193,C.H. Robinson Worldwide,212,14869.0,13.1,504.9,-1.7,4236.0,13153.0,15074,19
194,WestRock,190,14860.0,1.0,708.2,,25089.0,16372.0,44800,-4
195,Cognizant Technology Solutions,205,14810.0,9.8,1504.0,-3.2,15221.0,47338.0,260000,10
196,Newell Brands,208,14742.0,11.1,2748.8,420.8,33136.0,12363.0,49000,12
197,CBS,193,14710.0,2.3,357.0,-71.7,20843.0,19668.0,14715,-4
198,Envision Healthcare,538,14701.0,220.4,,,16573.0,4647.0,57750,340
199,Monsanto,204,14640.0,8.4,2260.0,69.2,21333.0,51444.0,21900,5
200,Aramark,192,14604.0,1.3,373.9,29.9,11006.0,9725.0,215000,-8
201,Applied Materials,265,14537.0,34.3,3434.0,99.5,19419.0,58429.0,18400,64
202,Waste Management,201,14485.0,6.4,1949.0,64.9,21829.0,36372.0,42300,-1
203,DISH Network,186,14391.0,-4.7,2098.7,44.8,29774.0,17682.0,17000,-17
204,Illinois Tool Works,202,14314.0,5.3,1687.0,-17.1,16780.0,53142.0,50000,-2
205,Lincoln National,207,14257.0,7.0,2079.0,74.4,281763.0,15946.0,9047,2
206,HollyFrontier,274,14251.0,35.3,805.4,,10692.0,8650.0,3522,68
207,CBRE Group,214,14210.0,8.7,691.5,20.9,11484.0,16042.0,80000,7
208,Textron,200,14198.0,3.0,307.0,-68.1,15340.0,15293.0,37000,-8
209,Ross Stores,219,14135.0,9.9,1362.8,21.9,5722.0,29800.0,82700,10
210,Principal Financial,227,14093.0,13.7,2310.4,75.5,253941.0,17643.0,15378,17
211,D.R. Horton,232,14091.0,15.9,1038.4,17.2,12185.0,16480.0,7735,21
212,Marsh & McLennan,210,14024.0,6.2,1492.0,-15.6,20429.0,41924.0,64000,-2
213,Devon Energy,231,13949.0,14.4,898.0,,30241.0,16725.0,3414,18
214,AES,194,13850.0,-3.1,,,33112.0,7510.0,10500,-20
215,Ecolab,211,13838.0,5.2,1508.4,22.7,19962.0,39524.0,48400,-4
216,Land O'Lakes,209,13740.0,3.8,314.2,28.3,9509.0,,10000,-7
217,Loews,213,13735.0,4.8,1164.0,78.0,79586.0,16134.0,18100,-4
218,Kinder Morgan,215,13705.0,5.0,183.0,-74.2,79055.0,33223.0,10897,-3
219,FirstEnergy,196,13627.0,-3.7,,,42257.0,16175.0,15617,-23
220,Occidental Petroleum,278,13274.0,27.7,1311.0,,42026.0,49738.0,11000,58
221,Viacom,224,13263.0,6.2,1874.0,30.3,23698.0,12919.0,11200,3
222,PayPal Holdings,264,13094.0,20.8,1795.0,28.1,40774.0,91056.0,18700,42
223,NGL Energy Partners,237,13022.0,10.9,137.0,,6320.0,1332.0,2700,14
224,Celgene,254,13003.0,15.8,2940.0,47.1,30141.0,67102.0,7467,30
225,Arconic,228,12960.0,4.6,,,18718.0,11124.0,41500,3
226,Kellogg,216,12923.0,-0.7,1269.0,82.9,16350.0,22532.0,32944,-10
227,Las Vegas Sands,249,12882.0,12.9,2806.0,68.0,20687.0,56721.0,50500,22
228,Stanley Black & Decker,250,12747.0,11.7,1226.0,27.0,19080.0,23610.0,57765,22
229,Booking Holdings,268,12681.0,18.0,2340.8,9.6,25451.0,100459.0,22900,39
230,Lennar,260,12646.0,15.5,810.5,-11.1,18745.0,18738.0,9111,30
231,L Brands,220,12632.0,0.5,983.0,-15.1,8149.0,10655.0,59200,-11
232,DTE Energy,272,12607.0,18.6,1134.0,30.6,33767.0,18760.0,10200,40
233,Dominion Energy,238,12586.0,7.2,2999.0,41.3,76585.0,45344.0,16200,5
234,Reinsurance Group of America,246,12516.0,8.6,1822.2,159.8,60515.0,9930.0,2640,12
235,J.C. Penney,221,12506.0,-0.3,,-11700.0,8413.0,943.0,98000,-14
236,Mastercard,267,12497.0,16.0,3915.0,-3.5,21329.0,184161.0,13400,31
237,BlackRock,255,12491.0,12.0,4970.0,56.7,220217.0,87065.0,13900,18
238,Henry Schein,243,12462.0,7.7,406.3,-19.8,7811.0,10330.0,22000,5
239,Guardian Life Ins. Co. of America,218,12455.0,-3.6,455.3,72.5,75038.0,,9283,-21
240,Stryker,252,12444.0,9.9,1020.0,-38.1,22197.0,60041.0,33000,12
241,Jefferies Financial Group,262,12408.0,14.1,171.7,32.1,47169.0,8098.0,12700,21
242,VF,230,12400.0,1.6,614.9,-42.8,9959.0,29403.0,69000,-12
243,ADP,240,12380.0,6.1,1733.4,16.1,37180.0,50302.0,58000,-3
244,Edison International,235,12320.0,3.8,565.0,-56.9,52580.0,20741.0,12521,-9
245,Biogen,248,12274.0,7.2,2539.1,-31.4,23653.0,57930.0,7300,3
246,United States Steel,279,12250.0,19.4,387.0,,9862.0,6200.0,29200,33
247,Core-Mark Holding,247,12225.0,6.2,33.5,-38.2,1783.0,981.0,8413,0
248,Bed Bath & Beyond,233,12216.0,0.9,685.1,-18.6,6846.0,2989.0,65000,-15
249,Oneok,312,12174.0,36.5,387.8,10.2,16846.0,23373.0,2470,63
250,BB& T Corp.,245,12156.0,5.4,2394.0,-1.3,221642.0,40454.0,36484,-5
251,Becton Dickinson,225,12093.0,-3.1,1100.0,12.7,37734.0,57695.0,41933,-26
252,Ameriprise Financial,239,12075.0,2.9,1480.0,12.6,147470.0,21613.0,13312,-13
253,Farmers Insurance Exchange,222,12072.0,-3.5,,,16165.0,,13015,-31
254,First Data,242,12052.0,4.0,1465.0,248.8,48269.0,14865.0,22000,-12
255,Consolidated Edison,234,12033.0,-0.3,1525.0,22.5,48111.0,24192.0,15591,-21
256,Parker-Hannifin,251,12029.0,5.9,983.4,21.9,15490.0,22755.0,56690,-5
257,Anadarko Petroleum,344,11908.0,51.3,,,42086.0,31131.0,4400,87
258,Estee Lauder,253,11824.0,5.0,1249.0,12.1,11568.0,55064.0,46000,-5
259,State Street Corp.,271,11774.0,10.7,2177.0,1.6,238425.0,36688.0,36643,12
260,Tesla,383,11759.0,68.0,,,28655.0,44955.0,37543,123
261,Netflix,314,11693.0,32.4,558.9,199.4,19013.0,128167.0,5100,53
262,Alcoa,300,11652.0,25.0,217.0,,17447.0,8372.0,14600,38
263,Discover Financial Services,277,11545.0,10.0,2099.0,-12.3,100087.0,25431.0,16500,14
264,Praxair,275,11437.0,8.6,1247.0,-16.9,20436.0,41434.0,26461,11
265,CSX,257,11408.0,3.1,5471.0,219.2,35739.0,49428.0,24006,-8
266,Xcel Energy,256,11404.0,2.7,1148.0,2.2,43030.0,23107.0,11105,-10
267,Unum Group,258,11287.0,2.2,994.2,6.7,64013.0,10530.0,9400,-9
268,Universal Health Services,276,11279.0,7.3,752.3,7.1,10762.0,11163.0,72300,8
269,NRG Energy,229,11275.0,-8.7,,,23318.0,9698.0,5940,-40
270,EOG Resources,356,11208.0,46.5,2582.6,,29833.0,60913.0,2664,86
271,Sempra Energy,280,11207.0,10.1,256.0,-81.3,50454.0,29351.0,16046,9
272,Toys 'R' Us,244,11146.0,-3.4,,,7262.0,,65000,-28
273,Group 1 Automotive,261,11124.0,2.2,213.4,45.1,4871.0,1366.0,14108,-12
274,Entergy,263,11075.0,2.1,411.6,,46707.0,14298.0,13504,-11
275,Molson Coors Brewing,522,11003.0,125.2,1414.2,-28.4,30247.0,16238.0,17200,247
276,L3 Technologies,273,11002.0,3.8,677.0,-4.6,12729.0,16283.0,38000,-3
277,Ball,306,10983.0,21.2,374.0,42.2,17169.0,13920.0,18300,29
278,AutoZone,270,10889.0,2.4,1280.9,3.2,9260.0,17450.0,70035,-8
279,Murphy USA,291,10853.0,12.7,245.3,10.7,2331.0,2440.0,6900,12
280,MGM Resorts International,297,10774.0,13.9,1960.3,78.0,29159.0,19844.0,68500,17
281,Office Depot,203,10752.0,-20.9,181.0,-65.8,6323.0,1195.0,45000,-78
282,Huntsman,289,10592.0,9.7,636.0,95.1,10244.0,7090.0,10000,7
283,Baxter International,281,10561.0,3.9,717.0,-85.6,17111.0,34979.0,47000,-2
284,Norfolk Southern,284,10551.0,6.7,5404.0,224.0,35711.0,41226.0,27110,0
285,salesforce.com,326,10480.0,24.9,127.5,-29.0,21010.0,85074.0,29000,41
286,Laboratory Corp. of America,290,10441.0,8.3,1268.2,73.2,16568.0,16482.0,60000,4
287,W.W. Grainger,282,10425.0,2.8,585.7,-3.3,5804.0,15823.0,25050,-5
288,Qurate Retail,269,10404.0,-2.3,2441.0,97.7,24122.0,12587.0,28255,-19
289,Autoliv,283,10383.0,3.1,427.1,-24.7,8550.0,12710.0,67352,-6
290,Live Nation Entertainment,330,10337.0,23.7,,-304.5,7504.0,8772.0,15050,40
291,Xerox,162,10265.0,-40.1,195.0,,15946.0,7330.0,36100,-129
292,Leidos Holdings,381,10170.0,44.4,366.0,50.0,8990.0,9918.0,31000,89
293,Corning,298,10116.0,7.7,,-113.5,27494.0,23677.0,46200,5
294,Lithia Motors,318,10087.0,16.2,245.2,24.4,4683.0,2515.0,12899,24
295,Expedia Group,317,10060.0,14.7,378.0,34.1,18516.0,16764.0,22615,22
296,Republic Services,299,10042.0,7.0,1278.4,108.7,21147.0,21832.0,35000,3
297,Jacobs Engineering Group,259,10023.0,-8.6,293.7,39.6,7381.0,8380.0,49750,-38
298,Sonic Automotive,287,9867.0,1.4,93.0,-0.2,3819.0,804.0,9750,-11
299,Ally Financial,286,9866.0,0.3,929.0,-12.9,167148.0,11767.0,7900,-13
300,LKQ,304,9848.0,8.4,533.7,15.0,9367.0,11750.0,43000,4
301,BorgWarner,305,9799.0,8.0,439.9,271.2,9788.0,10586.0,29000,4
302,Fidelity National Financial,293,9769.0,2.3,771.0,18.6,9151.0,10983.0,24525,-9
303,SunTrust Banks,303,9741.0,6.3,2273.0,21.0,205962.0,31863.0,23785,0
304,IQVIA Holdings,390,9739.0,41.6,1309.0,1038.3,22742.0,20433.0,55000,86
305,Reliance Steel & Aluminum,320,9721.0,12.9,613.4,101.6,7751.0,6244.0,14900,15
306,Nvidia,387,9714.0,40.6,3047.0,82.9,11241.0,140112.0,11528,81
307,Voya Financial,266,9660.0,-10.4,,,222532.0,8686.0,6300,-41
308,CenterPoint Energy,362,9614.0,27.7,1792.0,314.8,22736.0,11822.0,7977,54
309,eBay,310,9567.0,6.5,,-114.0,25981.0,40726.0,14100,1
